sentiment,text
neutral,"i d have responded if i were going"
negative,"sooo sad i will miss you here in san diego"
negative,"my boss is bullying me"
negative,"what interview leave me alone"
negative,"sons of why couldn t they put them on the releases we already bought"
neutral,"www dothebouncy com smf some shameless plugging for the best rangers forum on earth"
positive,"am feedings for the baby are fun when he is all smiles and coos"
neutral,"soooo high"
neutral,"both of you"
positive,"journey wow u just became cooler hehe is that possible"
neutral,"as much as i love to be hopeful i reckon the chances are minimal p i m never gonna get my cake and stuff"
positive,"i really really like the song love story by taylor swift"
negative,"my sharpie is running dangerously low on ink"
negative,"i want to go to music tonight but i lost my voice"
neutral,"test test from the lg env"
negative,"uh oh i am sunburned"
negative,"s ok trying to plot alternatives as we speak sigh"
negative,"i ve been sick for the past few days and thus my hair looks wierd if i didnt have a hat on it would look tinyurl com mnfkw"
negative,"is back home now gonna miss every one"
neutral,"hes just not that into you"
neutral,"oh marly i m so sorry i hope you find her soon"
positive,"playing ghost online is really interesting the new updates are kirin pet and metamorph for third job can t wait to have a dragon pet"
neutral,"is cleaning the house for her family who is comming later today"
neutral,"gotta restart my computer i thought win was supposed to put an end to the constant rebootiness"
neutral,"see wat i mean bout follw friidays it s called lose fllowers friday smh"
positive,"the free fillin app on my ipod is fun im addicted"
negative,"i m sorry"
negative,"on the way to malaysia no internet access to twit"
positive,"juss came backk from berkeleyy omg its madd fun out there havent been out there in a minute whassqoodd"
negative,"went to sleep and there is a power cut in noida power back up not working too"
positive,"i m going home now have you seen my new twitter design quite heavenly isn"
positive,"i hope unni will make the audition fighting dahye unni"
negative,"if it is any consolation i got my bmi tested hahaha it says i am obesed well so much for being unhappy for about minutes"
positive,"that s very funny cute kids"
neutral,"ahhh i slept through the game i m gonna try my best to watch tomorrow though i hope we play army"
neutral,"thats it its the end tears for fears vs eric prydz dj hero bit ly hpbg"
negative,"born and raised in nyc and living in texas for the past years i still miss ny"
neutral,"just in case you wonder we are really busy today and this coming with with adding tons of new blogs and updates stay tuned"
negative,"i m soooooo sleeeeepy the last day o school was today sniffle"
positive,"a little happy for the wine jeje ok it sm my free time so who cares jaja i love this day"
neutral,"car not happy big big dent in boot hoping theyre not going to write it off crossing fingers and waiting"
positive,"im an avid fan of magazine and i love your magazines"
neutral,"mayday"
neutral,"ratt rocked nashville tonite one thing sucked no encore like in the s they still have a fun show pearcy has that hott bad boy look"
positive,"i love to but i m only available from pm and where dear would love to help convert her vids"
neutral,"the girl in the hair salon asked me shall i trim your eyebrows how old do i feel"
negative,"egh blah and boooooooooooo i dunno wanna go to work hangovers suckkkkkk im a drunk mess"
neutral,"visiting my friendster and facebook"
negative,"i donbt like to peel prawns i also dont like going shopping running out of money and crawling round the car looking for more"
negative,"which case i got a new one last week and i m not thrilled at all with mine"
neutral,"then you should check out twittersucks com and connect with other tweeple who hate twitter"
neutral,"also bored at school its my third freelesson freistunde"
neutral,"hm both of us i guess"
negative,"it is u have dissappointed me that past few days"
positive,"romance zero is funny"
neutral,"i d rather do the early run but i am a morning runner"
negative,"bah a coworker ran into work late and her bag smacked into my knee it really hurts now"
neutral,"will be back later plurk com p rpk"
negative,"aw torn ace of hearts hunchback"
neutral,"what fun are you speaking of"
negative,"i lost all my friends i m alone and sleepy i wanna go home"
neutral,"haha yes"
negative,"i give in to easily"
positive,"what better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine our wine was a red"
negative,"mannnn got an iphone im jealous bit ly ngnar"
neutral,"is at a photoshoot"
positive,"he s awesome have you worked with him before he s a good friend"
neutral,"yay playing a show tonight boo it s gonna soggy and i m at work right before playing"
positive,"chilliin"
neutral,"if you know such agent do let me know"
neutral,"i still smell of smoke kitchenfire"
positive,"a celtics lakers rematch sounds better don t you think lol"
neutral,"anyone have an extra keane ticket i promise to buy you a drink and take rad pics for your fb blog flickr etc"
neutral,"you can ride one you can catch one but its not summer til you pop open one"
neutral,"she is good so gor juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no"
neutral,"ok i m out of here for now just popped in to say hi and check on things i ll probably head to the guttah later on tonight"
negative,"wow i am really missin the fam ily today baddd"
neutral,"my sources say no"
negative,"i am sooo tired"
neutral,"hey you change your twitter account and you didn t even tell me"
positive,"thank yyyyyyyyyoooooooooouuuuu"
positive,"lucky kid i so wanna see loserville pity im in oz"
neutral,"fell asleep waiting for my ride"
negative,"sick with a flu like thing"
negative,"still no reply from about my simfinger problem so no irape parody video until i get a response sorry guys"
positive,"happy star wars day everyone and enjoy the holiday uk"
neutral,"miles from you i m in essex so give me plenty of warning so i can arrive in time to get at least one of those free beers"
neutral,"his snoring is so annoying n it keeps me from sleeping like right now lol but i honestly wud miss it if it eva left i love him"
negative,"i miss you bby wish you were going tomorrow to make me do good"
positive,"well what im working on isn t quite ready to post about publicly still beta testing but its a cool new script i coded"
positive,"sweeeeet san fran is awesome love it there"
neutral,"mounce yes and it lasts way past my bedtime"
neutral,"hi how are you doing just joined twitter"
negative,"waiting for sleeping pills to kick in gonna be so tired at work tomorrow"
neutral,"eating ice cream and then getting ready for graduation"
positive,"happy mothers day to all you mums out there"
negative,"casey s gone but why so she piddled a little on the carpet she s prolly freaked cause it s new can we get her back"
negative,"hemp cloth is marvelous but unfortunately no"
neutral,"gonna read a story bout adam lambert online then bed nighty night"
positive,"we saw that in none d the baddie s the best"
positive,"am and im on the beach pretty"
neutral,"certainly not cheers than huh"
negative,"week post my horrible traumatic jumping cholla accident cholla s next dirty trick pieces are starting to emerge from my hand ouch"
negative,"i realy wanted to go out cause its so nice but everybodys busy"
positive,"awesome i m down in ocean beach if you know where that is by the way yourbiggestfan i m a re al big fan of you rs"
neutral,"at least i get to watch over time let s go pens"
neutral,"cool i wear black most of the time when i go out"
positive,"haha i do not know how to work blip apart from the obvious thanks for reblipping my song have a nice day"
positive,"have a safe trip joshy poo you ll knock them dead at your speech"
positive,"woof i wish i was allowed to go"
neutral,"if u have a friendster add me my email adress add me lococrimest com add me leave some comment"
neutral,"has tickets"
positive,"thank you afrin nasal spray also i got a giant teacup tonight"
neutral,"acsm it s unfathomable i think the other one and the is one that should be kept to the comfort of our bedrooms yes"
positive,"aww i love my daddy he works days a week almost all day and still tries to go to sf with all of us"
negative,"so many tests todayyy i don t feel confident about anyy"
negative,"graduation is done im a little sad anyone want to hang out"
positive,"hahaa your awesomee"
positive,"holy smokes star trek was freaking awesomeeeee"
neutral,"i hate fallout it keeps making me jump i m also low on health money ammo and food don t worry i ll get through it"
neutral,"i had it on my itunes but then i lost all my songs"
neutral,"what s with the gloomy weather the sun must be too tired to come out and play heading to victoria gardens for some impulse buys haha"
negative,"not looking forward to next week maths geography english and french exams totalling hours"
negative,"poor you get outside and sleep in the garden the sun will do you good but don t forget suncream"
negative,"not well"
positive,"not a prob hun"
neutral,"at dads watching some mtv and am going on sims in a minutee"
neutral,"absolutely"
neutral,"what s the matter chickadee"
positive,"hey mia totally adore your music when will your cd be out"
positive,"shopping cleaning bmfing webcam chatting with nephews nothing spesh but a good bank holiday monday nonetheless"
positive,"o you need to ask him something lmao i love him too"
negative,"those splinters look very painful but you were being very heroic saving mr pickle"
negative,"why are you sad"
positive,"nice to see you tweeting it s sunday th may and we re celebrating mother s day here today so be nice to yer mom"
positive,"decided trans frm relaxed natural hair but i wish my whole head looked like my roots age of the instant gratification"
neutral,"namaskar namaste r both the same marathi people say namaskar its a marathi word should i naaaah"
neutral,"congrats i cuss like that in a matter of minutes but didn t know until now there is a reward for it"
neutral,"humous and dorito s oh yes"
negative,"missed all the awesome weather because she was in a movie"
neutral,"today is going to be a normal day for i hope we had a group of pilots from a large airline come in last night so it was too much drink"
negative,"these kids are terrible if i was in good evans i d call childline"
negative,"unfortunatley aerlingus no longer fly to copenhagen so we re have to fly ryanair to billund and drive up to copenhagen one of the days"
negative,"what s sad is that i actually had to google that term that sucks tho"
negative,"hate fighting"
neutral,"i watched that too i didnt want her to win but she put up a good fight lol"
negative,"car warmed sprite tastes like sore throat"
neutral,"just came th in cross country and beat dumbo"
positive,"candle wax is very enjoyable"
positive,"she s unassuming and unpretentious she s just as i suppose that s why she s so endearing because we can relate to her"
neutral,"tomorrow valeria s lunch going to get my hair done but im arraving late got my cousins babtizm or whatever you spell it"
positive,"goooooddd morning tweets week three of my workout did i mention i got my new glasses yesterday"
negative,"me too i hate my computer so much"
positive,"fine going to do my big walk today or so miles"
negative,"i want red cruisers i don t like the other ones lmfao"
neutral,"mmmmmmmm it in the morning"
neutral,"me neither"
neutral,"has about hours work to do on a sunday boo i will find time for a two hour lunchbreak though yeah"
negative,"bugger forgot i still have washing in my machine"
positive,"laurie sending love blessings healing thoughts to you family peace"
negative,"my back hurts really bad"
neutral,"ah yes i know that feeling"
neutral,"night of the cookers with my dad"
negative,"my modem has been offline for a week now god bless the g network tim just left again may schedule has been brutal"
neutral,"nope i am in coquitlam"
negative,"had parent teacher thing yesterday so boring going to skl on saturday lol"
positive,"sounds like fun hope to see you and everyone else there"
neutral,"big booming thunder storm almost here maybe we can all go home early ah probably not"
positive,"few bevvies day in twn great on a day off"
positive,"first night in myers just not the same w out lydia but i m actually excited about this summer"
positive,"good morning"
positive,"its the best show ever"
negative,"url in previous post to timer job should be bit ly afdb i d removed space which messed up url es"
neutral,"i think iv hurt my tooth and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha l"
neutral,"i want to know when the auditions are mander text or reply please"
negative,"or even nooooo not the secret namerebecca please"
negative,"i miss my neice can t wait to see her bad n grown lol"
neutral,"i need to get my computer fixed"
negative,"really hopes her car s illness is not terminal"
neutral,"all the cool people i want to find for following today are and i guess the english don t tweet"
neutral,"no sir i woulda put honey but i don t have any"
positive,"who watched x men origins wolverine i totally loved it haha"
positive,"i voted do u have a personal myspace i keep talking to fakes i you u helped me thru the hrdest time of my life x"
